Agency,Agency_Name,Borough,Location_Type,Street_Name,Complaint_Type,Descriptor,Incident_Zip
DSNY,Department of Sanitation,BRONX,,SCHURZ AVENUE,Graffiti,Graffiti,10465
DSNY,Department of Sanitation,MANHATTAN,Residential,EAST    6 STREET,Graffiti,Graffiti,10009
DSNY,Department of Sanitation,MANHATTAN,Residential,ST NICHOLAS AVENUE,Graffiti,Graffiti,10027
DSNY,Department of Sanitation,BRONX,,BURR AVENUE,Graffiti,Graffiti,10461
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,ADAM CLAYTON POWELL BOULEVARD,Graffiti,Graffiti,10030
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,EAST   10 STREET,Graffiti,Graffiti,10009
DSNY,Department of Sanitation,MANHATTAN,Comercial,EAST    6 STREET,Graffiti,Graffiti,10009
DOB,Department of Buildings,QUEENS,,161 PLACE,Building/Use,Illegal Conversion Of Residential Building/Space,11434
DSNY,Department of Sanitation,BRONX,Residential,OLMSTEAD AVENUE,Graffiti,Graffiti,10462
DOHMH,Department of Health and Mental Hygiene,BROOKLYN,Residential Building,CROWN STREET,Smoking,Smoking Violation,11213
DOB,Department of Buildings,QUEENS,,VIETOR AVENUE,Elevator,Elevator - Defective/Not Working,11373
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,SECOND AVENUE,Graffiti,Graffiti,10029
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,96 STREET,Graffiti,Graffiti,11209
DSNY,Department of Sanitation,BRONX,Comercial,BOSTON ROAD,Graffiti,Graffiti,10456
DSNY,Department of Sanitation,BRONX,Residential,EAST  199 STREET,Graffiti,Graffiti,10458
DSNY,Department of Sanitation,BRONX,Mixed Use,POWELL AVENUE,Graffiti,Graffiti,10462
DSNY,Department of Sanitation,BROOKLYN,Comercial,HOPE STREET,Graffiti,Graffiti,11211
DSNY,Department of Sanitation,BRONX,Residential,EAST  181 STREET,Graffiti,Graffiti,10460
DOB,Department of Buildings,QUEENS,,122 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11420
DOB,Department of Buildings,QUEENS,,HAWTHORNE AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOB,Department of Buildings,BROOKLYN,,SOUTH    1 STREET,Elevator,Elevator - Defective/Not Working,11211
DSNY,Department of Sanitation,BROOKLYN,Comercial,NOSTRAND AVENUE,Graffiti,Graffiti,11229
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,PRESIDENT STREET,Graffiti,Graffiti,11213
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,FORT HAMILTON PARKWAY,Graffiti,Graffiti,11218
DSNY,Department of Sanitation,BROOKLYN,Comercial,BROADWAY,Graffiti,Graffiti,11206
DSNY,Department of Sanitation,BROOKLYN,Comercial,UTICA AVENUE,Graffiti,Graffiti,11203
DSNY,Department of Sanitation,BROOKLYN,,NOSTRAND AVENUE,Graffiti,Graffiti,11229
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,70 STREET,Graffiti,Graffiti,11228
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MYRTLE AVENUE,Graffiti,Graffiti,11205
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,LINDEN BOULEVARD,Graffiti,Graffiti,11212
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,CHURCH AVENUE,Graffiti,Graffiti,11203
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,SUTTER AVENUE,Graffiti,Graffiti,11212
DSNY,Department of Sanitation,BROOKLYN,Comercial,AVENUE R,Graffiti,Graffiti,11229
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,GRAND AVENUE,Graffiti,Graffiti,11238
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MYRTLE AVENUE,Graffiti,Graffiti,11205
DSNY,Department of Sanitation,BROOKLYN,Comercial,GLENWOOD ROAD,Graffiti,Graffiti,11234
DSNY,Department of Sanitation,BRONX,,NOSTRAND AVENUE,Graffiti,Graffiti,
DOB,Department of Buildings,QUEENS,,134 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11434
DOB,Department of Buildings,QUEENS,,106 STREET,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11416
DOB,Department of Buildings,BRONX,,FENTON AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,10469
DSNY,Queens East 10,QUEENS,Street,135 PLACE,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11420
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,EAST  106 STREET,Graffiti,Graffiti,10029
DOB,Department of Buildings,BROOKLYN,,JEFFERSON AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11221
DSNY,Department of Sanitation,QUEENS,Comercial,43 AVENUE,Graffiti,Graffiti,11104
DOB,Department of Buildings,STATEN ISLAND,,MAIN STREET,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",10307
DSNY,Department of Sanitation,QUEENS,Comercial,57 ROAD,Graffiti,Graffiti,11378
DSNY,Department of Sanitation,BRONX,,OAK TREE PLACE,Graffiti,Graffiti,10457
DSNY,Department of Sanitation,QUEENS,Comercial,MAIN STREET,Graffiti,Graffiti,11355
DSNY,Department of Sanitation,BRONX,Comercial,EAST  134 STREET,Graffiti,Graffiti,10454
DOB,Department of Buildings,BROOKLYN,,54 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11220
DOB,Department of Buildings,BROOKLYN,,54 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11220
DOB,Department of Buildings,QUEENS,,215 PLACE,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11428
DOT,Department of Transportation,BROOKLYN,,PROSPECT EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Pedestrian Signal,
DOF,Condo or CoOp Unit,MANHATTAN,Co-Op Unit,,DOF Property - Reduction Issue,Condo or Co-op Abatement,10019
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DSNY,BCC - Brooklyn North,BROOKLYN,Sidewalk,,Sanitation Condition,12 Dead Animals,11225
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Veh Signal Lamp,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Veh Sgnl Mult Lamps,
DOF,Personal Exemption Unit,BRONX,"1-, 2- and 3- Family Home",,DOF Property - Reduction Issue,Personal STAR Exemption,10462
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DSNY,BCC - Queens West,QUEENS,Street,,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11105
DSNY,P - Queens,QUEENS,Sidewalk,,Dirty Conditions,E12 Illegal Dumping Surveillance,11385
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,
DSNY,Department of Sanitation,QUEENS,Mixed Use,COLLEGE POINT BOULEVARD,Graffiti,Graffiti,11356
DSNY,Department of Sanitation,BRONX,Mixed Use,EAST  183 STREET,Graffiti,Graffiti,10453
DSNY,Department of Sanitation,BRONX,Residential,WEST FORDHAM ROAD,Graffiti,Graffiti,10468
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,ST JOHNS PLACE,Graffiti,Graffiti,11213
DSNY,Department of Sanitation,BRONX,Mixed Use,JEROME AVENUE,Graffiti,Graffiti,10468
DSNY,Department of Sanitation,BRONX,Mixed Use,JEROME AVENUE,Graffiti,Graffiti,10468
DOB,Department of Buildings,QUEENS,,116 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11419
DSNY,Department of Sanitation,BROOKLYN,Comercial,BRIDGEWATER STREET,Graffiti,Graffiti,11222
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,ROGERS AVENUE,Graffiti,Graffiti,11225
DOB,Department of Buildings,QUEENS,,96 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11368
DEP,Department of Environmental Protection,BROOKLYN,,VANDALIA AVENUE,Noise,Noise: air condition/ventilation equipment (NV1),11239
DOB,Department of Buildings,QUEENS,,BEACH  141 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11694
DOB,Department of Buildings,BROOKLYN,,MCKIBBIN STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11206
DOB,Department of Buildings,QUEENS,,60 DRIVE,General Construction/Plumbing,Fence - None/Inadequate,11378
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,BORINQUEN PLACE,Graffiti,Graffiti,11211
DOB,Department of Buildings,BRONX,,WEST  183 STREET,Elevator,Elevator - Defective/Not Working,10453
DSNY,Department of Sanitation,QUEENS,,30TH AVENUE,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,Residential,EAST   61 STREET,Graffiti,Graffiti,11234
DOHMH,Department of Health and Mental Hygiene,MANHATTAN,Restaurant/Bar/Deli/Bakery,EAST 92 STREET,Smoking,Smoking Violation,10128
DOB,Department of Buildings,BROOKLYN,,LAKE STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11223
DOB,Department of Buildings,BROOKLYN,,HANCOCK STREET,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11233
DOB,Department of Buildings,BROOKLYN,,ESSEX STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11208
DOB,Department of Buildings,BRONX,,WALLACE AVENUE,Elevator,Elevator - Defective/Not Working,10462
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,SECOND AVENUE,Graffiti,Graffiti,10003
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,WEST  162 STREET,Graffiti,Graffiti,10032
DOB,Department of Buildings,QUEENS,,99 STREET,Elevator,Elevator - Defective/Not Working,11368
DOB,Department of Buildings,QUEENS,,CORPORAL STONE STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11361
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,FOSTER AVENUE,Graffiti,Graffiti,11230
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,FOSTER AVENUE,Graffiti,Graffiti,11230
DOB,Department of Buildings,QUEENS,,DELAWARE AVENUE,General Construction/Plumbing,Fence - None/Inadequate,11355
DSNY,Department of Sanitation,BROOKLYN,Comercial,PEARL STREET,Graffiti,Graffiti,11201
DSNY,Department of Sanitation,BROOKLYN,Residential,37 STREET,Graffiti,Graffiti,11232
DSNY,Department of Sanitation,MANHATTAN,Residential,COOPER STREET,Graffiti,Graffiti,10034
DOB,Department of Buildings,QUEENS,,135 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11420
DOB,Department of Buildings,QUEENS,,BEECH AVENUE,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11355
DOB,Department of Buildings,BROOKLYN,,BAINBRIDGE STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11233
DOB,Department of Buildings,QUEENS,,158 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11358
DOT,Department of Transportation,STATEN ISLAND,,,Street Condition,Pothole,10305
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11414
DSNY,Queens East 12,QUEENS,Street,,Derelict Vehicles,14 Derelict Vehicles,11413
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Controller,
DSNY,BCC - Queens East,QUEENS,Street,177 STREET,Derelict Vehicles,14 Derelict Vehicles,11434
DFTA,Department for the Aging,QUEENS,Senior Address,,Housing - Low Income Senior,N/A,11423
DOT,Department of Transportation,QUEENS,,CLEARVIEW EXPY,Street Light Condition,Multiple Street Lights Out,
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,LED Lense,
TLC,Taxi and Limousine Commission,BROOKLYN,Street,PIERREPONT STREET,Taxi Complaint,Insurance Information Requested,11201
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,SCRIE TAC Adjustment Application for Tenants,
DOT,Department of Transportation,BROOKLYN,,MCKINLEY PARK,Street Light Condition,Street Light Cycling,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,BROADWAY,Graffiti,Graffiti,10032
DOB,Department of Buildings,QUEENS,,161 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11414
DOHMH,Department of Health and Mental Hygiene,MANHATTAN,Commercial Building,GANSEVOORT STREET,Smoking,Smoking Violation,10014
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,FIFTH AVENUE,Graffiti,Graffiti,11209
DOB,Department of Buildings,QUEENS,,GUY R BREWER BOULEVARD,Building/Use,Illegal Conversion Of Residential Building/Space,11434
DOT,Department of Transportation,QUEENS,,,Street Light Condition,New Con Ed Service Request,11433
DSNY,Department of Sanitation,QUEENS,,UNION STREET,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,,NASSAU AVENUE,Graffiti,Graffiti,11222
DOB,Department of Buildings,BROOKLYN,,MALCOM X BOULEVARD,Building/Use,Illegal Conversion Of Residential Building/Space,11221
DOB,Department of Buildings,STATEN ISLAND,,MAIN STREET,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",10307
DSNY,Department of Sanitation,BRONX,,CONNER STREET,Graffiti,Graffiti,10475
DEP,Department of Environmental Protection,QUEENS,,60 AVENUE,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),11362
DOHMH,Department of Health and Mental Hygiene,QUEENS,Residential Building,41 AVENUE,Smoking,Smoking Violation,11355
DSNY,Department of Sanitation,BRONX,,WESTCHESTER SQUARE,Graffiti,Graffiti,10461
DSNY,Department of Sanitation,BROOKLYN,,Amber Street,Graffiti,Graffiti,
DSNY,Department of Sanitation,BRONX,,BRONXDALE AVENUE,Graffiti,Graffiti,10462
DOB,Department of Buildings,BROOKLYN,,62 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11220
DOB,Department of Buildings,QUEENS,,60 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11368
DOB,Department of Buildings,QUEENS,,COMMONWEALTH BOULEVARD,Building/Use,Illegal Conversion Of Residential Building/Space,11426
DSNY,Department of Sanitation,BRONX,Comercial,BOSTON ROAD,Graffiti,Graffiti,10456
DOB,Department of Buildings,QUEENS,,215 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11428
DOB,Department of Buildings,BRONX,,BURR AVENUE,Elevator,Elevator - Defective/Not Working,10461
DOB,Department of Buildings,BRONX,,SEDGWICK AVENUE,Elevator,Elevator - Defective/Not Working,10468
DOB,Department of Buildings,BRONX,,SEDGEWICK AVENUE,Elevator,Elevator - Defective/Not Working,10468
DOF,Refunds and Adjustments,Unspecified,N/A,,DOF Parking - Payment Issue,Waive Penalty for Late Payment,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MCDONALD AVENUE,Graffiti,Graffiti,11230
DEP,Department of Environmental Protection,BROOKLYN,,AVENUE N,Sewer,Manhole Cover Broken/Making Noise (SB),11230
DSNY,Department of Sanitation,BROOKLYN,Comercial,3 AVENUE,Graffiti,Graffiti,11209
DSNY,Department of Sanitation,MANHATTAN,Residential,EAST    9 STREET,Graffiti,Graffiti,10009
DOB,Department of Buildings,QUEENS,,131 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11420
DOB,Department of Buildings,BRONX,,JACKSON AVENUE,Elevator,Elevator - Defective/Not Working,10455
DOB,Department of Buildings,QUEENS,,BROOKLYN QNS EXPRESSWAY WEST,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,11377
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MANHATTAN AVENUE,Graffiti,Graffiti,11222
DOB,Department of Buildings,BROOKLYN,,EAST   67 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11234
DSNY,Department of Sanitation,MANHATTAN,Residential,EAST   71 STREET,Graffiti,Graffiti,10021
DSNY,Department of Sanitation,QUEENS,,Hoffman drive and 58th ave,Graffiti,Graffiti,
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,WEST  178 STREET,Graffiti,Graffiti,10033
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DSNY,Department of Sanitation,QUEENS,Residential,AUSTIN STREET,Graffiti,Graffiti,11374
DEP,Department of Environmental Protection,BROOKLYN,,VERNON AVE,Water System,Hydrant Knocked Over/Missing (WC),11206
DSNY,Department of Sanitation,BROOKLYN,,FORT HAMILTON PARKWAY,Graffiti,Graffiti,11219
DOB,Department of Buildings,BROOKLYN,,24 AVENUE,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11204
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,4 AVENUE,Graffiti,Graffiti,11220
DSNY,Department of Sanitation,STATEN ISLAND,Residential,POST AVENUE,Graffiti,Graffiti,10302
DSNY,Department of Sanitation,MANHATTAN,Comercial,BOWERY,Graffiti,Graffiti,10012
DSNY,Department of Sanitation,QUEENS,Mixed Use,37 AVENUE,Graffiti,Graffiti,11372
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOB,Department of Buildings,BROOKLYN,,EAST   26 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11229
DOB,Department of Buildings,QUEENS,,BROOKLYN QUEENS EXPRESSWAY,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11377
DEP,Department of Environmental Protection,QUEENS,,,Water System,Hydrant Running (WC3),11377
DSNY,Department of Sanitation,MANHATTAN,Residential,EAST    3 STREET,Graffiti,Graffiti,10003
DOB,Department of Buildings,QUEENS,,88 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11369
DSNY,Department of Sanitation,STATEN ISLAND,Residential,AMBOY ROAD,Graffiti,Graffiti,10306
DOT,Department of Transportation,BRONX,,,Street Condition,Pothole,10456
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,7 AVENUE,Graffiti,Graffiti,11215
DSNY,Department of Sanitation,BROOKLYN,,METROPOLITAN AVENUE,Graffiti,Graffiti,11211
DSNY,Department of Sanitation,BROOKLYN,Comercial,MADISON STREET,Graffiti,Graffiti,11216
DOB,Department of Buildings,QUEENS,,37 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11354
DOB,Department of Buildings,QUEENS,,SANFORD AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption App for Owners - English,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,PS40 PLGD JAMAICA,Street Light Condition,Street Light Out,
DOF,Refunds and Adjustments,Unspecified,N/A,,DOF Parking - Payment Issue,Status of PV Refund,
DOT,Department of Transportation,QUEENS,Street,84TH AVENUE,Street Sign - Missing,Stop,
DHS,Operations Unit - Department of Homeless Services,BRONX,Other,SOUTHERN BOULEVARD,Homeless Person Assistance,N/A,
DSNY,Queens East 12,QUEENS,Street,153 STREET,Derelict Vehicles,14 Derelict Vehicles,11433
NYPD,New York City Police Department,Unspecified,Street/Sidewalk,BAY   19 STREET,Noise - Vehicle,Car/Truck Music,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,SCRIE Renewal Application - Rent-Stabilized Apartments,
DOF,Senior Citizen Rent Increase Exemption Unit,QUEENS,Senior Address,,SCRIE,Initial Application,11427
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,PS40 PLGD JAMAICA,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,PS40 PLGD JAMAICA,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,PS40 PLGD JAMAICA,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,PS40 PLGD JAMAICA,Street Light Condition,Street Light Out,
DOF,Commercial Exemption Unit,BRONX,Apartment Building,,DOF Property - Reduction Issue,Commercial 421A Exemption,10458
DSNY,Department of Sanitation,BROOKLYN,Comercial,MC DONALD AVENUE,Graffiti,Graffiti,11230
DSNY,Department of Sanitation,MANHATTAN,Residential,EAST   38 STREET,Graffiti,Graffiti,10016
DSNY,Department of Sanitation,BROOKLYN,,217 ST,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,,EAST   61 STREET,Graffiti,Graffiti,11234
DSNY,Department of Sanitation,BROOKLYN,Comercial,EAST   98 STREET,Graffiti,Graffiti,11236
DSNY,Department of Sanitation,QUEENS,Mixed Use,JAMAICA AVENUE,Graffiti,Graffiti,11418
DSNY,Department of Sanitation,BROOKLYN,Comercial,CLARKSON AVENUE,Graffiti,Graffiti,11226
DSNY,Department of Sanitation,BROOKLYN,Comercial,86 STREET,Graffiti,Graffiti,11214
DSNY,Department of Sanitation,QUEENS,,CROCHERON AVENUE,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,,86th street,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,Comercial,GLENWOOD ROAD,Graffiti,Graffiti,11210
DSNY,Department of Sanitation,BROOKLYN,Comercial,FLATBUSH AVENUE,Graffiti,Graffiti,11234
DOB,Department of Buildings,QUEENS,,118 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11420
DOB,Department of Buildings,BRONX,,BROADWAY,Special Enforcement,SEP - Professional Certification Compliance Audit,10463
DOT,Department of Transportation,BROOKLYN,,10 ST S,Street Light Condition,Fixture/Luminaire Hanging,
DFTA,Department for the Aging,MANHATTAN,Senior Address,,Housing - Low Income Senior,N/A,10002
DOF,Department of Finance,Unspecified,,,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,
DOT,Department of Transportation,BROOKLYN,,,Traffic Signal Condition,Post,
DSNY,BCC - Bronx,BRONX,Street,,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,
DSNY,Manhattan 02,MANHATTAN,Street,WEST   11 STREET,Derelict Bicycle,14B Derelict Bicycle,10011
DSNY,BCC - Brooklyn North,BROOKLYN,Street,BERGEN STREET,Derelict Bicycle,14B Derelict Bicycle,11216
DOF,Personal Exemption Unit,BROOKLYN,"1-, 2- and 3- Family Home",,DOF Property - Reduction Issue,Personal STAR Exemption,11234
DPR,Department of Parks and Recreation,QUEENS,Street,78 STREET,Damaged Tree,Branch or Limb Has Fallen Down,11416
DPR,Department of Parks and Recreation,QUEENS,Beach,,Maintenance or Facility,Structure - Outdoors,11694
DOF,Personal Exemption Unit,BROOKLYN,Condo Unit,,DOF Property - Reduction Issue,Personal STAR Exemption,11204
DOT,Department of Transportation,BROOKLYN,,66 ST E,Street Light Condition,Lamppost Damaged,
DSNY,BCC - Brooklyn South,BROOKLYN,Street,,Derelict Vehicles,14 Derelict Vehicles,11226
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,LED Lense,
TLC,Taxi and Limousine Commission,MANHATTAN,Street,,Taxi Complaint,Insurance Information Requested,10012
DOT,Department of Transportation,BROOKLYN,,SHORE PKWY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,BKLYN QUEENS EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Light Condition,Street Light Cycling,
DOT,Department of Transportation,BROOKLYN,,GOWANUS EXPY,Street Light Condition,Street Light Out,
DOB,Department of Buildings,QUEENS,,157 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOB,Department of Buildings,QUEENS,,95 AVENUE,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11419
DOB,Department of Buildings,QUEENS,,58 ROAD,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOB,Department of Buildings,QUEENS,,94 STREET,Elevator,Elevator - Defective/Not Working,11373
DOB,Department of Buildings,BRONX,,WEBSTER AVENUE,Elevator,Elevator - Defective/Not Working,10467
DOB,Department of Buildings,QUEENS,,BASCOM AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11436
DOB,Department of Buildings,QUEENS,,147 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DOB,Department of Buildings,QUEENS,,189 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11365
DOB,Department of Buildings,BRONX,,BARKER AVENUE,Elevator,Elevator - Defective/Not Working,10467
DOB,Department of Buildings,QUEENS,,BEACH  119 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11694
DOB,Department of Buildings,QUEENS,,MURDOCK AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11429
DOB,Department of Buildings,BROOKLYN,,CATHERINE STREET,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11211
DOB,Department of Buildings,QUEENS,,112 STREET,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,11419
DSNY,Department of Sanitation,BROOKLYN,Comercial,CONEY ISLAND AVENUE,Graffiti,Graffiti,11230
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,ELDRIDGE STREET,Graffiti,Graffiti,10002
DSNY,Department of Sanitation,MANHATTAN,Residential,WEST   24 STREET,Graffiti,Graffiti,10011
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,1 AVENUE,Graffiti,Graffiti,10003
DSNY,Department of Sanitation,QUEENS,,58TH ROAD,Graffiti,Graffiti,
DSNY,Department of Sanitation,BROOKLYN,Comercial,WOODS PLACE,Graffiti,Graffiti,11226
DSNY,Department of Sanitation,MANHATTAN,,WEST   28 STREET,Graffiti,Graffiti,10001
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,WEST   53 STREET,Graffiti,Graffiti,10019
DSNY,Department of Sanitation,MANHATTAN,Comercial,WEST   27 STREET,Graffiti,Graffiti,10001
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,GRATTAN STREET,Graffiti,Graffiti,11237
DSNY,Department of Sanitation,MANHATTAN,,8 AVENUE,Graffiti,Graffiti,10030
DSNY,Department of Sanitation,MANHATTAN,Residential,WEST  126 STREET,Graffiti,Graffiti,10027
